State,Variable,Value,
S0,carB,true,
S0,carA,false,
S0,greenB,false,
S0,greenA,true,
S0,emergency,false,
S1,carB,true,
S1,carA,false,
S1,greenB,true,
S1,greenA,false,
S1,emergency,false,
S2,carB,false,
S2,carA,false,
S2,greenB,false,
S2,greenA,true,
S2,emergency,false,
S3,carB,true,
S3,carA,true,
S3,greenB,false,
S3,greenA,false,
S3,emergency,true,
S4,carB,true,
S4,carA,true,
S4,greenB,false,
S4,greenA,false,
S4,emergency,true,
S5,carB,true,
S5,carA,true,
S5,greenB,true,
S5,greenA,false,
S5,emergency,false,
S6,carB,false,
S6,carA,true,
S6,greenB,false,
S6,greenA,false,
S6,emergency,true,
S7,carB,false,
S7,carA,false,
S7,emergency,true,
